"Player_Name","Age","Club","Height_cm","Weight_lbs","Foot","Joined"
"Pierre-Emerick",29,"Arsenal",189,176,"Right",2018-01-31
"Alexandre",27,"Arsenal",179,161,"Right",2017-07-05
"Bernd Leno",30,"Arsenal",192,183,"Right",2018-07-01
"Mkhitaryan",29,"Arsenal",156,161,"Both",2016-07-05
"Granit Xhaka",26,"Arsenal",185,500,"Left",2016-07-01
"Shkodran",28,"Arsenal",182,181,"Right",2016-08-30
"Jack Grealish",23,"Aston Villa",179,148,"Right",2008-03-01
"John McGinn",24,"Aston Villa",179,154,"Left",2018-08-08
"Anwar El Ghazi",50,"Aston Villa",188,150,"Right",2017-01-31
"Conor",27,"Aston Villa",159,350,"Left",2017-01-26
"James Chester",30,"Aston Villa",155,174,"Right",2016-08-12
"James Chester",30,"Aston Villa",155,174,"Right",2016-08-12
"James Chester",30,"Aston Villa",155,174,"Right",2016-08-12
"Jonathan Kodija",46,"Aston Villa",182,192,"Right",2016-08-30
"Callum Wilson",26,"Aston Villa",162,148,"Right",2014-07-04
